tb_detail_produk_pengajuan,,,,
No,Nama Atribut,Tipe Atribut,Ukuran Atribut,Keterangan
1,id,uuid,36,"PRIMARY KEY, RANDOM UUID"
2,id_detail_pengajuan,uuid,36,FOREIGN KEY (tb_detail_pengajuan)
3,id_detail_produk,int,4 bytes,FOREIGN KEY (tb_detail_produk)
