tb_detail_pengajuan,,,,
No,Nama Atribut,Tipe Atribut,Ukuran Atribut,Keterangan
1,id,uuid,36,"PRIMARY KEY, RANDOM UUID"
2,id_pengajuan,uuid,36,FOREIGN KEY (tb_pengajuan)
3,id_produk,int,4 bytes,FOREIGN KEY (tb_produk)
4,kuantitas,small int,2 bytes,
