peminjam,,,,
No,Nama Atribut,Tipe Atribut,Ukuran Atribut,Keterangan
1,id,varchar,36,PRIMARY KEY
2,kategori,enum,"{'GURU', 'SISWA'}",
3,nama,varchar,100,
4,nomor_induk,varchar,23,
5,kelas,varchar,12,BOLEH NULL
