tb_produk,,,,
No,Nama Atribut,Tipe Atribut,Ukuran Atribut,Keterangan
1,id,int,4 bytes,"PRIMARY KEY, AUTO INCREMENT"
2,kategori,enum,"{'ASET', 'HP'}",
3,nama,varchar,50,
4,kode,varchar,32,
5,merk,varchar,50,
6,model,varchar,50,
7,spesifikasi,varchar,100,
8,kuantitas,small int,2 bytes,
