aktivitas,,,,
No,Nama Atribut,Tipe Atribut,Ukuran Atribut,Keterangan
1,id,varchar,36,PRIMARY KEY
2,kategori,varchar,30,
3,keterangan,varchar,255,
4,waktu,timestamp,timestamp,
5,id_admin,varchar,36,"FOREIGN KEY (admin), BOLEH NULL"
6,id_peminjam,varchar,36,"FOREIGN KEY (peminjam), BOLEH NULL"
