tb_pengajuan,,,,
No,Nama Atribut,Tipe Atribut,Ukuran Atribut,Keterangan
1,id,uuid,36,"PRIMARY KEY, RANDOM UUID"
2,status,enum,"{'DIAJUKAN', 'DIPINJAM', 'KEMBALI', 'TERLAMBAT'}",
3,id_peminjam,uuid,36,FOREIGN KEY (tb_peminjam)
4,alasan,varchar,255,
5,tanggal_pinjam,datetime,datetime,
6,tanggal_kembali,datetime,datetime,
7,kode_resi,varchar,12,
